Rank,Entita,Entita_Originale,Entita_Principale,Confidenza_Entita,Score_Avg_now 1-H,Score_Avg_now 4-H,Score_Avg_now 7-d,Discover_Score
111,tommaso cassissa,tommaso cassissa,tommaso cassissa,0.0,0.0,0.0,0.0,0.11598595746413704
112,meteo milano oggi,meteo milano oggi,meteo milano oggi,0.0,0.0,0.0,0.0,0.11586545122896322
113,f1 giappone,f1 giappone,f1 giappone,0.0,0.0,0.0,0.0,0.11574626280698765
114,beppe severgnini,beppe severgnini,beppe severgnini,0.0,0.0,0.0,0.0,0.11562836606814388
115,nets - clippers,nets - clippers,nets - clippers,0.0,0.0,0.0,0.0,0.11551173562698316
116,queen,queen,queen,0.0,0.0,0.0,0.0,0.11539634681513465
117,timberwolves - suns,timberwolves - suns,timberwolves - suns,0.0,0.0,0.0,0.0,0.11528217565501304
118,dimitrov,dimitrov,dimitrov,0.0,0.0,0.0,0.0,0.11516919883470787
119,universitario - sport huancayo,universitario - sport huancayo,universitario - sport huancayo,0.0,0.0,0.0,0.0,0.11505739368399082
120,probabili formazioni fantacalcio,probabili formazioni fantacalcio,probabili formazioni fantacalcio,0.0,0.0,0.0,0.0,0.11494673815138318
121,patti smith,patti smith,patti smith,0.0,0.0,0.0,0.0,0.11483721078222732
122,perugia calcio,perugia calcio,perugia calcio,0.0,0.0,0.0,0.0,0.11472879069771086
123,vance,vance,vance,0.0,0.0,0.0,0.0,0.11462145757479461
124,andrea pisani,andrea pisani,andrea pisani,0.0,0.0,0.0,0.0,0.11451519162699778
125,penelope cruz,penelope cruz,penelope cruz,0.0,0.0,0.0,0.0,0.11440997358599793
126,terence hill,terence hill,terence hill,0.0,0.0,0.0,0.0,0.11430578468400439
127,costanza fiction,costanza fiction,costanza fiction,0.0,0.0,0.0,0.0,0.11420260663686677
128,grigor dimitrov,grigor dimitrov,grigor dimitrov,0.0,0.0,0.0,0.0,0.11410042162788261
129,previsioni meteo,previsioni meteo,previsioni meteo,0.0,0.0,0.0,0.0,0.11399921229226986
130,partite oggi diretta,partite oggi diretta,partite oggi diretta,0.0,0.0,0.0,0.0,0.11389896170227155
131,rocco papaleo,rocco papaleo,rocco papaleo,0.0,0.0,0.0,0.0,0.11379965335286309
132,moglie brignano,moglie brignano,moglie brignano,0.0,0.0,0.0,0.0,0.11370127114803248
133,tom cruise,tom cruise,tom cruise,0.0,0.0,0.0,0.0,0.11360379938760694
134,meteo brescia,meteo brescia,meteo brescia,0.0,0.0,0.0,0.0,0.11350722275459996
135,lauren sánchez,lauren sánchez,lauren sánchez,0.0,0.0,0.0,0.0,0.11341152630305443
136,re carlo iii,re carlo iii,re carlo iii,0.0,0.0,0.0,0.0,0.11331669544635907
137,michelle hunziker,michelle hunziker,michelle hunziker,0.0,0.0,0.0,0.0,0.11322271594601621
138,bayer leverkusen,bayer leverkusen,bayer leverkusen,0.0,0.0,0.0,0.0,0.11312957390084036
139,woke,woke,woke,0.0,0.0,0.0,0.0,0.11303725573656806
140,ben affleck,ben affleck,ben affleck,0.0,0.0,0.0,0.0,0.11294574819586044
141,enzo bearzot,enzo bearzot,enzo bearzot,0.0,0.0,0.0,0.0,0.11285503832868103
142,millionday,millionday,millionday,0.0,0.0,0.0,0.0,0.11276511348303216
143,andrea sempio,andrea sempio,andrea sempio,0.0,0.0,0.0,0.0,0.11267596129603387
144,stefania cappa,stefania cappa,stefania cappa,0.0,0.0,0.0,0.0,0.112587569685331
145,balestrate,balestrate,balestrate,0.0,0.0,0.0,0.0,0.11249992684081335
146,rush hour,rush hour,rush hour,0.0,0.0,0.0,0.0,0.11241302121663614
147,luca argentero,luca argentero,luca argentero,0.0,0.0,0.0,0.0,0.11232684152352747
148,raul cremona,raul cremona,raul cremona,0.0,0.0,0.0,0.0,0.11224137672137072
149,antonio di bella,antonio di bella,antonio di bella,0.0,0.0,0.0,0.0,0.11215661601205026
150,monica maggioni,monica maggioni,monica maggioni,0.0,0.0,0.0,0.0,0.11207254883254941
151,val kilmer,val kilmer,val kilmer,0.0,0.0,0.0,0.0,0.11198916484829012
152,bezos matrimonio,bezos matrimonio,bezos matrimonio,0.0,0.0,0.0,0.0,0.11190645394670419
153,twitter down,twitter down,twitter down,0.0,0.0,0.0,0.0,0.11182440623102707
154,achille lauro,achille lauro,achille lauro,0.0,0.0,0.0,0.0,0.11174301201430423
155,massimiliano bruno,massimiliano bruno,massimiliano bruno,0.0,0.0,0.0,0.0,0.11166226181360236
